dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories,webshop_bucket_variant
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Fixed,16,complete_z16_ordered_prefix,300,300,1.0,0.7739507825846068,0.6808808195197987,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-MaxProb,3,complete_z16_ordered_prefix,300,300,1.0,0.6434738445911631,0.5373120892418963,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-MaxProb,4,complete_z16_ordered_prefix,300,300,1.0,0.6259291749388244,0.5322976803593306,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-MaxProb,6,complete_z16_ordered_prefix,300,300,1.0,0.6208504547763055,0.528259532314741,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-MaxProb,8,complete_z16_ordered_prefix,300,300,1.0,0.625744494205642,0.5250995975938507,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-MaxProb,12,complete_z16_ordered_prefix,300,300,1.0,0.6209889653261923,0.5304004532888764,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-MaxProb,16,complete_z16_ordered_prefix,300,300,1.0,0.6230204533911999,0.5301265498006871,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-PPL,3,complete_z16_ordered_prefix,300,300,1.0,0.6435661849577543,0.5488913128693631,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-PPL,4,complete_z16_ordered_prefix,300,300,1.0,0.6264370469550764,0.5336573070246633,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-PPL,6,complete_z16_ordered_prefix,300,300,1.0,0.6193730089108453,0.5314520138465557,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-PPL,8,complete_z16_ordered_prefix,300,300,1.0,0.6225587515582437,0.5249382187972638,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-PPL,12,complete_z16_ordered_prefix,300,300,1.0,0.6182649245117503,0.5328535122663698,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,CoCoA-PPL,16,complete_z16_ordered_prefix,300,300,1.0,0.6224664111916525,0.5332422368083505,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,Degree,3,strict_z8_n4_prefix,300,300,1.0,0.6262754513135418,0.6024006277981384,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,Degree,4,strict_z8_n4_prefix,300,300,1.0,0.6285147052033797,0.5918474630570651,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,Degree,6,strict_z8_n4_prefix,300,300,1.0,0.663073087400157,0.6081990934062176,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,Degree,8,strict_z8_n4_prefix,300,300,1.0,0.6719608476845653,0.6082454043429866,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,EigV,3,complete_z16_ordered_prefix,300,300,1.0,0.6285608753866754,0.5525563127776049,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,EigV,4,complete_z16_ordered_prefix,300,300,1.0,0.6211274758760792,0.5561048228058822,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,EigV,6,complete_z16_ordered_prefix,300,300,1.0,0.6335472551826031,0.5310050478098381,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,EigV,8,complete_z16_ordered_prefix,300,300,1.0,0.6602797913107716,0.5360081310963101,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,EigV,12,complete_z16_ordered_prefix,300,300,1.0,0.6587792603536637,0.5594937994056195,12.0,
