dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories
hotpotqa,qwen35,hotpotqa-qwen35,101,SentSAR,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5351570787433702,0.4539109999233382,
hotpotqa,qwen35,hotpotqa-qwen35,101,UProp,2,strict_z8_n4_prefix,1000,1000,1.0,0.5884740922072623,0.4964842975614348,
webshop,gemma3,webshop-gemma3,202,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,200,200,1.0,0.598563447725459,0.917958281277834,
webshop,gemma3,webshop-gemma3,202,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,200,200,1.0,0.6233040702314445,0.9234257750198116,
webshop,gemma3,webshop-gemma3,202,CoCoA-MaxProb,2,complete_z16_ordered_prefix,200,200,1.0,0.6570896515030593,0.928882706675427,
webshop,gemma3,webshop-gemma3,202,CoCoA-PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.7267890396382016,0.947108598359364,
webshop,gemma3,webshop-gemma3,202,Degree,2,strict_z8_n4_prefix,200,200,1.0,0.647778664538441,0.9450419556002672,
webshop,gemma3,webshop-gemma3,202,EigV,2,complete_z16_ordered_prefix,200,200,1.0,0.5544027666932694,0.9061663510841956,
webshop,gemma3,webshop-gemma3,202,KLE,2,complete_z16_ordered_prefix,200,200,1.0,0.4957435488161745,0.894217877094972,
webshop,gemma3,webshop-gemma3,202,LS,2,complete_z16_ordered_prefix,200,200,1.0,0.6118648576749135,0.9340603029190176,
webshop,gemma3,webshop-gemma3,202,MC-OE,2,complete_z16_ordered_prefix,200,200,1.0,0.6100026602819899,0.9167729403454696,
webshop,gemma3,webshop-gemma3,202,PE,2,complete_z16_ordered_prefix,200,200,1.0,0.6469805799414737,0.9380581375329652,
webshop,gemma3,webshop-gemma3,202,PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.6334131417930301,0.932838097472332,
webshop,gemma3,webshop-gemma3,202,SD,2,complete_z16_ordered_prefix,200,200,1.0,0.5968342644320297,0.9272043489957492,
webshop,gemma3,webshop-gemma3,202,SE,2,complete_z16_ordered_prefix,200,200,1.0,0.6005586592178771,0.931401274003836,
webshop,gemma3,webshop-gemma3,202,SNNE,2,complete_z16_ordered_prefix,200,200,1.0,0.5015961691939346,0.896368715083799,
webshop,gemma3,webshop-gemma3,202,SentSAR,2,complete_z16_ordered_prefix,200,200,1.0,0.446927374301676,0.8995601708607102,
webshop,gemma3,webshop-gemma3,202,UProp,2,strict_z8_n4_prefix,200,200,1.0,0.5094440010641128,0.908283545856868,
dbbench,gptoss20b,dbbench-gptoss20b,202,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,300,300,1.0,0.6963572267920094,0.555593256643535,
dbbench,gptoss20b,dbbench-gptoss20b,202,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,300,300,1.0,0.6549941245593419,0.5365834986987476,
dbbench,gptoss20b,dbbench-gptoss20b,202,CoCoA-MaxProb,2,complete_z16_ordered_prefix,300,298,0.9933333333333332,0.5906035469107551,0.5136233470723104,
dbbench,gptoss20b,dbbench-gptoss20b,202,CoCoA-PPL,2,complete_z16_ordered_prefix,300,298,0.9933333333333332,0.5882913806254767,0.5121151080381277,
dbbench,gptoss20b,dbbench-gptoss20b,202,Degree,2,strict_z8_n4_prefix,300,300,1.0,0.5940775558166862,0.5440599327250275,
dbbench,gptoss20b,dbbench-gptoss20b,202,EigV,2,complete_z16_ordered_prefix,300,298,0.9933333333333332,0.5724399313501144,0.4997093156055644,
dbbench,gptoss20b,dbbench-gptoss20b,202,KLE,2,complete_z16_ordered_prefix,300,298,0.9933333333333332,0.5985411899313502,0.4628647121158601,
dbbench,gptoss20b,dbbench-gptoss20b,202,LS,2,complete_z16_ordered_prefix,300,300,1.0,0.5941715628672151,0.5442516628544899,
dbbench,gptoss20b,dbbench-gptoss20b,202,MC-OE,2,complete_z16_ordered_prefix,300,300,1.0,0.6701527614571092,0.51247491638796,
dbbench,gptoss20b,dbbench-gptoss20b,202,PE,2,complete_z16_ordered_prefix,300,300,1.0,0.5859929494712103,0.4954720167512395,
dbbench,gptoss20b,dbbench-gptoss20b,202,PPL,2,complete_z16_ordered_prefix,300,300,1.0,0.4653349001175088,0.375459684215728,
dbbench,gptoss20b,dbbench-gptoss20b,202,SD,2,complete_z16_ordered_prefix,300,300,1.0,0.5575323149236193,0.4416716461304409,
dbbench,gptoss20b,dbbench-gptoss20b,202,SE,2,complete_z16_ordered_prefix,300,300,1.0,0.6156051703877791,0.5368532222384242,
dbbench,gptoss20b,dbbench-gptoss20b,202,SNNE,2,complete_z16_ordered_prefix,300,298,0.9933333333333332,0.5479357360793288,0.4088508294101123,
dbbench,gptoss20b,dbbench-gptoss20b,202,SentSAR,2,complete_z16_ordered_prefix,300,300,1.0,0.6212455934195065,0.5461122968367624,
dbbench,gptoss20b,dbbench-gptoss20b,202,UProp,2,strict_z8_n4_prefix,300,300,1.0,0.5868860164512338,0.5257820140936635,
