setting,rho,window,dataset,backbone,seed,cell,delta_auroc,delta_aupr,saving,mean_trajectories
rho70_w4,0.7,4,strategyqa,gemma3,303,strategyqa-gemma3-seed303,-0.024035062915311784,-0.006075985999122115,0.2909540271712761,5.854196991751576
rho70_w4,0.7,4,strategyqa,gptoss20b,101,strategyqa-gptoss20b-seed101,-0.024572730247426327,-0.014076862409044821,0.29103489406437005,5.857836001940805
rho70_w4,0.7,4,strategyqa,gptoss20b,202,strategyqa-gptoss20b-seed202,-0.01697752271640361,-0.011527858414616917,0.29109554423419054,5.852013585638041
rho70_w4,0.7,4,strategyqa,gptoss20b,303,strategyqa-gptoss20b-seed303,-0.013489038466736936,-0.010390050566190454,0.29223778909914283,5.848859776807376
rho70_w4,0.7,4,strategyqa,qwen35,101,strategyqa-qwen35-seed101,-0.006549232158988265,-0.008845454525048127,0.2920002426006793,5.850557981562349
rho70_w4,0.7,4,strategyqa,qwen35,202,strategyqa-qwen35-seed202,-0.014299250581445414,-0.014591698995893307,0.2903677421963448,5.858806404657933
rho70_w4,0.7,4,strategyqa,qwen35,303,strategyqa-qwen35-seed303,-0.006058517816636522,-0.0036711009557589547,0.2910601649684619,5.8524987869966045
rho70_w4,0.7,4,webshop,gemma3,101,webshop-gemma3-seed101,-0.009706439393939392,-0.00193553578057933,0.2881944444444444,5.870833333333334
rho70_w4,0.7,4,webshop,gemma3,202,webshop-gemma3-seed202,0.024297242174337135,0.004883590824719286,0.29015624999999995,5.858333333333333
rho70_w4,0.7,4,webshop,gemma3,303,webshop-gemma3-seed303,0.007448076268300963,0.0028450214531474485,0.2913368055555556,5.8525
rho70_w4,0.7,4,webshop,gptoss20b,101,webshop-gptoss20b-seed101,0.003395936687928184,0.0001980277229495231,0.2911111111111111,5.8500000000000005
rho70_w4,0.7,4,webshop,gptoss20b,202,webshop-gptoss20b-seed202,-0.0007130456349206579,-0.0004312933627154125,0.29137152777777775,5.8500000000000005
rho70_w4,0.7,4,webshop,gptoss20b,303,webshop-gptoss20b-seed303,0.02030629960317461,0.005928742269763236,0.28899305555555554,5.863333333333333
rho70_w4,0.7,4,webshop,qwen35,101,webshop-qwen35-seed101,-0.007311427280939457,-0.0015775315639500003,0.29109375,5.8525
rho70_w4,0.7,4,webshop,qwen35,202,webshop-qwen35-seed202,0.0007534659433393228,-0.0022541277067998355,0.29111111111111115,5.853333333333333
rho70_w4,0.7,4,webshop,qwen35,303,webshop-qwen35-seed303,-0.015074525745257417,-0.0047100991671007635,0.29137152777777775,5.8500000000000005
rho70_w6,0.7,6,dbbench,gemma3,101,dbbench-gemma3-seed101,0.0016075102880659016,0.00538096970459732,0.29810185185185184,5.725555555555555
rho70_w6,0.7,6,dbbench,gemma3,202,dbbench-gemma3-seed202,0.0010248343581677293,-0.0014588610354195157,0.2987152777777778,5.721111111111111
rho70_w6,0.7,6,dbbench,gemma3,303,dbbench-gemma3-seed303,0.004725493920972638,0.00434988581828714,0.2985069444444444,5.722777777777778
rho70_w6,0.7,6,dbbench,gptoss20b,101,dbbench-gptoss20b-seed101,-0.022569524601012674,-0.025818571618203445,0.29935185185185187,5.723333333333334
rho70_w6,0.7,6,dbbench,gptoss20b,202,dbbench-gptoss20b-seed202,-0.020195848021935008,-0.010359010118013897,0.2980439814814815,5.73
rho70_w6,0.7,6,dbbench,gptoss20b,303,dbbench-gptoss20b-seed303,-0.032073125805857416,-0.03977107627366272,0.30030092592592594,5.711111111111111
