dataset,backbone,seed,budget,count_mse,fused_mse,coverage95,mean_variance
dbbench,qwen35,303,8,0.06470939487445737,0.06515193249498964,0.85,0.030018019437934036
dbbench,qwen35,303,12,0.027796677134969975,0.02903029308905902,0.9566666666666667,0.024771806647460513
dbbench,qwen35,303,16,0.011585023868875647,0.012634117338819731,0.9966666666666667,0.02169856330936131
hotpotqa,gemma3,101,3,0.22810081430148008,0.22469908603022232,0.729,0.04389014039573358
hotpotqa,gemma3,101,4,0.1683051173356241,0.16494246241128624,0.747,0.039626756577514466
hotpotqa,gemma3,101,6,0.09375770057864603,0.09250854684573274,0.822,0.03339575794915276
hotpotqa,gemma3,101,8,0.0610153418339329,0.06063713842024149,0.888,0.02964230293029881
hotpotqa,gemma3,101,12,0.026330753919615243,0.026420204124773316,0.961,0.024367488109234794
hotpotqa,gemma3,101,16,0.010663851600638522,0.010970602304326851,0.997,0.020929031147056333
hotpotqa,gemma3,202,3,0.22912757559578137,0.22456668388337572,0.736,0.04400483164119259
hotpotqa,gemma3,202,4,0.17122423252049018,0.1679704850727206,0.759,0.0398286326481391
hotpotqa,gemma3,202,6,0.10153605226110438,0.09989279302869965,0.833,0.03354401329695335
hotpotqa,gemma3,202,8,0.05971975648348091,0.05901492638861876,0.884,0.029348899667719492
hotpotqa,gemma3,202,12,0.02588556910828056,0.026182509439636476,0.956,0.023851501181212164
hotpotqa,gemma3,202,16,0.010479000729961281,0.010866163387414847,0.996,0.02049277980167161
hotpotqa,gemma3,303,3,0.22042269270834736,0.21698028434644864,0.732,0.04393050246382784
hotpotqa,gemma3,303,4,0.1606646979534539,0.1582830054697771,0.758,0.03970741655751495
hotpotqa,gemma3,303,6,0.09612870639043991,0.09509483397090848,0.834,0.03352806595343269
hotpotqa,gemma3,303,8,0.05961678316105925,0.05892790784198757,0.887,0.029685984026667396
hotpotqa,gemma3,303,12,0.024604524159106266,0.02493857976440793,0.961,0.02435464902951595
hotpotqa,gemma3,303,16,0.010371797675131415,0.01067401245104891,0.996,0.020755167053992975
hotpotqa,gptoss20b,101,3,0.25641766962052537,0.2519178312600775,0.749,0.04427086342614835
hotpotqa,gptoss20b,101,4,0.19548490566949245,0.19198637634837126,0.749,0.039832488471353796
hotpotqa,gptoss20b,101,6,0.11723497442161167,0.11591507826983863,0.799,0.03410583839139583
hotpotqa,gptoss20b,101,8,0.07397421289659692,0.0731869870053888,0.854,0.030342346135627276
hotpotqa,gptoss20b,101,12,0.03173661029787443,0.031780805624420976,0.937,0.025512513294283883
hotpotqa,gptoss20b,101,16,0.012515200309551397,0.012763999603070692,0.993,0.022214693956685516
hotpotqa,gptoss20b,202,3,0.26718888856045275,0.262239966840591,0.729,0.044020404803286485
hotpotqa,gptoss20b,202,4,0.19821051961460412,0.19438106185342502,0.747,0.039918934485896326
hotpotqa,gptoss20b,202,6,0.11600110206835332,0.11408727949338535,0.818,0.03394151605715311
hotpotqa,gptoss20b,202,8,0.0753330481989332,0.07427814842113276,0.86,0.03040715668549202
hotpotqa,gptoss20b,202,12,0.03141485393542372,0.031217218024246405,0.94,0.025288818919568967
hotpotqa,gptoss20b,202,16,0.012477760590860955,0.012749622234981115,0.987,0.022408407209272722
hotpotqa,gptoss20b,303,3,0.26809139566719054,0.26282504116453675,0.713,0.04394018376557787
hotpotqa,gptoss20b,303,4,0.20124683080912079,0.1971780141272883,0.725,0.03946849613323117
hotpotqa,gptoss20b,303,6,0.12264658007336449,0.11977351480715591,0.801,0.03405374718529413
hotpotqa,gptoss20b,303,8,0.07728432200513125,0.07533575331232181,0.859,0.03017478936075493
hotpotqa,gptoss20b,303,12,0.032192100689802446,0.03161964204668686,0.932,0.02534007730748628
hotpotqa,gptoss20b,303,16,0.01234824213213028,0.012540430398091669,0.988,0.022274161378263924
hotpotqa,qwen35,101,3,0.41298784474621636,0.4052773807997372,0.497,0.041025560525801655
hotpotqa,qwen35,101,4,0.3012029045222314,0.2955307358431105,0.539,0.037047391500661844
hotpotqa,qwen35,101,6,0.16574782415241057,0.16272171276658662,0.654,0.03288819059565624
hotpotqa,qwen35,101,8,0.10085775488503802,0.09889837962150698,0.751,0.03053174074605897
hotpotqa,qwen35,101,12,0.03558042913705438,0.03563012539571461,0.903,0.027823214136430786
hotpotqa,qwen35,101,16,0.010410411093077368,0.010668186412672554,0.99,0.02604281852964313
hotpotqa,qwen35,202,3,0.41207928169904906,0.4037691145786188,0.506,0.04105074918855792
hotpotqa,qwen35,202,4,0.29592342887459316,0.2910940725299,0.535,0.03714453029096031
hotpotqa,qwen35,202,6,0.16202776796779833,0.15960110014944848,0.651,0.03279334368605192
hotpotqa,qwen35,202,8,0.09671819551079952,0.09534379505629802,0.741,0.030234233412359653
hotpotqa,qwen35,202,12,0.035106815627836484,0.03530069950366165,0.916,0.027535132180426802
hotpotqa,qwen35,202,16,0.010404779554246587,0.010779210044668454,0.989,0.025791965005340183
hotpotqa,qwen35,303,3,0.42053954997591253,0.412739144207883,0.502,0.04101870699868427
hotpotqa,qwen35,303,4,0.304330523444241,0.2990788141395122,0.532,0.037298146960211075
hotpotqa,qwen35,303,6,0.16619389221693268,0.16342923797509662,0.67,0.03288293682369311
hotpotqa,qwen35,303,8,0.10340465499255497,0.10232268168503068,0.744,0.030472195062601373
hotpotqa,qwen35,303,12,0.03421456721125292,0.034033391000314175,0.904,0.027789720247056164
hotpotqa,qwen35,303,16,0.009833080263196901,0.010112807961937333,0.996,0.025585238616025848
strategyqa,gemma3,101,3,0.0774200399366024,0.06429489843265855,0.9417758369723436,0.041966393087011354
strategyqa,gemma3,101,4,0.06195670391714922,0.05311412519374954,0.9432314410480349,0.03778645554502579
strategyqa,gemma3,101,6,0.04254299314974218,0.03677218050544913,0.9737991266375546,0.03019816499389377
strategyqa,gemma3,101,8,0.031347602478879015,0.028271892647016406,0.9796215429403202,0.02472223708472849
strategyqa,gemma3,101,12,0.018611156414256185,0.01764460623226226,0.9970887918486172,0.018174600279327265
strategyqa,gemma3,101,16,0.012177069295635255,0.011873977930557139,1.0,0.013877036065880203
strategyqa,gemma3,202,3,0.07551639971528559,0.06247154003443087,0.950509461426492,0.042361098056269
strategyqa,gemma3,202,4,0.05983240825761986,0.0502930293029796,0.9621542940320232,0.037974546959240615
strategyqa,gemma3,202,6,0.04154951313462069,0.03554763128819044,0.975254730713246,0.03033351716304091
strategyqa,gemma3,202,8,0.02996021187167274,0.026893537941004502,0.9796215429403202,0.02515334812332023
strategyqa,gemma3,202,12,0.01887763143902502,0.01761038132952813,0.9912663755458515,0.01819373957110726
strategyqa,gemma3,202,16,0.012232288998515986,0.011929605867002886,0.9985443959243085,0.013887025499546304
strategyqa,gemma3,303,3,0.07635181821134282,0.06334981177384406,0.9563318777292577,0.04250726296602934
strategyqa,gemma3,303,4,0.06053573217994413,0.05136728487135812,0.9650655021834061,0.0381745304434369
strategyqa,gemma3,303,6,0.041525850515151494,0.03660877378142123,0.9767103347889374,0.03024103088762622
